# Body & health kanji (N3). 頭顔首死薬血鼻歯 live in n4/body-health.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
指	シ	ゆび、さ(す)	finger; to point	扌	てへん	扌、旨	9	3
背	ハイ	せ、せい、そむ(く)	back; height; to defy	月	にくづき	北、月	9	6
腹	フク	はら	belly; abdomen	月	にくづき	月、复	13	6
髪	ハツ	かみ	hair	髟	かみがしら	髟、犮	14
痛	ツウ	いた(い)、いた(む)	pain; to ache	疒	やまいだれ	疒、甬	12	6
治	ジ、チ	なお(る)、なお(す)、おさ(める)	to cure; to govern	氵	さんずい	氵、台	8	4
健	ケン	すこ(やか)	healthy; sound	亻	にんべん	亻、建	11	4
康	コウ		ease; health	广	まだれ	广、隶	11	4
息	ソク	いき	breath; son	心	こころ	自、心	10	3
